product_id,product_name,category,base_price,fragility_class,theft_attractiveness_score,christmas_popularity_multiplier
PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,9,2.1
PROD000002,Smart LED TV 55 inches,Technologie,799.0,Fragile,8,2.4
PROD000003,Bluetooth Speaker Waterproof,Technologie,129.99,Durable,7,2.0
PROD000004,E-Reader (6 inch display),Divertissement et Culture,89.99,Fragile,6,1.8
PROD000005,Yoga Mat High-Traction,Maison et Vie quotidienne,24.99,Durable,3,1.2
PROD000006,Stainless Steel Chef Set,Maison et Vie quotidienne,149.99,Fragile,4,1.6
PROD000007,Designer Winter Coat,Mode et Bien-être,259.5,Standard,5,1.9
PROD000008,Running Shoes Pro,Mode et Bien-être,119.99,Durable,6,1.8
PROD000009,Cordless Vacuum Cleaner,Maison et Vie quotidienne,199.99,Fragile,6,2.0
PROD000010,Smartphone XYZ 128GB,Technologie,599.99,Fragile,9,2.8
PROD000011,4K Action Camera,Loisirs et Transport,299.99,Fragile,7,2.2
PROD000012,Bicycle Mountain Pro,Loisirs et Transport,540.0,Durable,5,1.7
PROD000013,Car Mount Dashcam,Loisirs et Transport,89.99,Durable,6,1.9
PROD000014,Espresso Machine,Maison et Vie quotidienne,299.0,Fragile,8,2.1
PROD000015,Non-Stick Cookware Set,Maison et Vie quotidienne,89.99,Standard,4,1.5
PROD000016,Gaming Keyboard RGB,Technologie,99.99,Durable,7,2.0
PROD000017,Scented Candle Gift Pack,Divertissement et Culture,19.99,Standard,2,1.3
PROD000018,Yoga Block and Strap Set,Loisirs et Transport,34.99,Durable,3,1.4
PROD000019,Smart Home Speaker,Technologie,89.99,Fragile,6,1.9
PROD000020,Electric Kettle 1.7L,Maison et Vie quotidienne,39.99,Durable,4,1.6
B1-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Durable,8,2.2
B1-PROD000002,Smart LED TV 55 inches,Technologie,899.99,Fragile,7,2.0
B1-PROD000003,Bluetooth Speaker Mini,Technologie,59.99,Standard,6,2.5
B1-PROD000004,Yoga Mat Deluxe,Mode et Bien-être,29.99,Standard,5,1.6
B1-PROD000005,Fitness Tracker Watch,Mode et Bien-être,149.99,Durable,7,2.1
B1-PROD000006,Silk Evening Dress,Mode et Bien-être,189.99,Fragile,3,1.4
B1-PROD000007,Leather Crossbody Bag,Mode et Bien-être,129.99,Fragile,6,1.8
B1-PROD000008,Ceramic Dinnerware Set (16pc),Maison et Vie quotidienne,89.99,Fragile,4,1.8
B1-PROD000009,Non-Stick Cookware Set,Maison et Vie quotidienne,119.99,Standard,4,1.5
B1-PROD000010,Smart Home Speaker,Technologie,99.99,Durable,7,2.0
B1-PROD000011,E-Reader Tablet,Divertissement et Culture,129.99,Standard,5,2.3
B1-PROD000012,Bestselling Fantasy Novel,Divertissement et Culture,14.99,Standard,2,1.3
B1-PROD000013,Acoustic Guitar,Divertissement et Culture,299.99,Fragile,5,2.0
B1-PROD000014,Mountain Bicycle,Loisirs et Transport,999.99,Durable,6,1.9
B1-PROD000015,Electric Scooter,Loisirs et Transport,349.99,Durable,7,2.2
B1-PROD000016,Drone with Camera,Technologie,499.99,Fragile,8,2.6
B1-PROD000017,Noise-Cancelling Gaming Headset,Technologie,149.99,Durable,6,2.1
B1-PROD000018,Smartwatch Fitness Bundle,Technologie,199.99,Durable,7,2.4
B1-PROD000019,Stainless Steel Cookware Set,Maison et Vie quotidienne,159.99,Fragile,3,1.7
B1-PROD000020,Compact Portable Projector,Divertissement et Culture,219.99,Fragile,5,2.1
B2-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Durable,8,2.4
B2-PROD000002,Smart LED TV 55 inches,Technologie,799.0,Fragile,7,2.8
B2-PROD000003,Bluetooth Portable Speaker,Technologie,129.99,Standard,6,2.1
B2-PROD000004,Yoga Mat Premium,Maison et Vie quotidienne,29.99,Durable,4,1.6
B2-PROD000005,Stainless Steel Cookware Set,Maison et Vie quotidienne,149.99,Fragile,5,1.9
B2-PROD000006,Espresso Coffee Maker,Maison et Vie quotidienne,89.99,Standard,6,1.9
B2-PROD000007,Portrait Photography Book,Divertissement et Culture,24.99,Standard,3,1.4
B2-PROD000008,Indie Rock Vinyl Record,Divertissement et Culture,14.99,Fragile,2,1.2
B2-PROD000009,Smart Fitness Tracker,Technologie,99.99,Durable,7,2.0
B2-PROD000010,Yoga Block Set,Mode et Bien-être,19.99,Durable,3,1.5
B2-PROD000011,Designer Sunglasses,Mode et Bien-être,119.99,Fragile,6,2.3
B2-PROD000012,Winter Knit Scarf,Mode et Bien-être,39.99,Standard,3,1.9
B2-PROD000013,Electric Drill 600W,Loisirs et Transport,59.99,Durable,5,1.8
B2-PROD000014,Road Bicycle 21 Speed,Loisirs et Transport,499.0,Durable,8,2.7
B2-PROD000015,Electric Scooter,Loisirs et Transport,299.99,Durable,7,2.5
B2-PROD000016,Smart Refrigerator 300L,Maison et Vie quotidienne,899.99,Fragile,6,2.2
B2-PROD000017,Robot Vacuum Cleaner,Maison et Vie quotidienne,249.99,Durable,5,2.0
B2-PROD000018,Resistance Bands Set,Mode et Bien-être,14.99,Standard,2,1.3
B2-PROD000019,Kindle E-reader,Divertissement et Culture,89.99,Standard,6,2.1
B2-PROD000020,Smart Home Assistant Speaker,Technologie,129.99,Fragile,6,2.2
B3-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,8,2.5
B3-PROD000002,Smart LED TV 55 inches,Technologie,899.99,Fragile,9,2.4
B3-PROD000003,Bluetooth Portable Speaker,Technologie,129.99,Durable,7,2.1
B3-PROD000004,Noise-Isolating Wireless Earbuds,Technologie,149.0,Durable,8,2.2
B3-PROD000005,Yoga Mat with alignment guide,Maison et Vie quotidienne,34.99,Standard,4,1.1
B3-PROD000006,Smart Home Wi-Fi Plug Pack,Maison et Vie quotidienne,24.99,Durable,5,1.6
B3-PROD000007,Stainless Steel Cookware Set,Maison et Vie quotidienne,99.99,Fragile,6,1.8
B3-PROD000008,Ceramic Table Lamp,Maison et Vie quotidienne,49.99,Fragile,4,1.4
B3-PROD000009,Smart Fitness Band,Mode et Bien-être,79.99,Durable,6,2.0
B3-PROD000010,Athletic Running Shoes,Mode et Bien-être,120.0,Durable,5,1.9
B3-PROD000011,Classic Wool Overcoat,Mode et Bien-être,199.0,Standard,3,1.4
B3-PROD000012,Leather Handbag,Mode et Bien-être,210.0,Fragile,7,2.3
B3-PROD000013,Gourmet Coffee Grinder,Loisirs et Transport,89.99,Fragile,5,1.7
B3-PROD000014,Electric Bicycle Helmet,Loisirs et Transport,69.99,Durable,6,2.1
B3-PROD000015,Rugged Mountain Bike Light,Loisirs et Transport,59.99,Durable,4,1.6
B3-PROD000016,Drone with 4K Camera,Technologie,499.99,Fragile,9,2.7
B3-PROD000017,3D Printing Pen,Divertissement et Culture,39.99,Standard,4,1.5
B3-PROD000018,Steam-Punk Board Game,Divertissement et Culture,29.99,Standard,5,1.7
B3-PROD000019,Edgy Graphic Novel Collection,Divertissement et Culture,74.99,Standard,4,1.6
B3-PROD000020,Smart Refrigerator Camera,Technologie,299.99,Fragile,8,2.2
PROD000001,Wireless Bluetooth Headphones,Technologie,99.99,Fragile,9,2.1
PROD000002,4K Ultra HD Smart TV 55 inches,Technologie,799.99,Fragile,8,2.5
PROD000003,Noise Cancelling Over-Ear Headphones,Technologie,199.99,Fragile,7,2.2
PROD000004,Smart Home Speaker with Voice Assistant,Technologie,129.99,Standard,6,2.0
PROD000005,Yoga Mat Non-Slip,Mode et Bien-être,29.99,Durable,4,1.5
PROD000006,Athletic Running Shoes,Mode et Bien-être,89.99,Durable,5,1.8
PROD000007,Winter Knit Sweater,Mode et Bien-être,59.99,Standard,3,1.7
PROD000008,Stainless Steel Cookware Set,Maison et Vie quotidienne,149.99,Standard,3,1.6
PROD000009,Ceramic Dinnerware Set (16pc),Maison et Vie quotidienne,89.99,Fragile,2,1.4
PROD000010,Cordless Vacuum Cleaner,Maison et Vie quotidienne,199.99,Durable,6,2.0
PROD000011,Smartphone 128GB,Technologie,699.99,Fragile,10,2.4
PROD000012,E-reader with Backlight,Divertissement et Culture,119.99,Standard,4,1.6
PROD000013,Bluetooth Portable Speaker,Divertissement et Culture,49.99,Standard,5,1.9
PROD000014,Action Camera 4K,Loisirs et Transport,299.99,Fragile,6,2.3
PROD000015,Smartwatch Series 8,Technologie,299.99,Fragile,8,2.3
PROD000016,Digital Camera Kit,Technologie,549.99,Fragile,7,2.1
PROD000017,Culinary Recipe Book Set,Divertissement et Culture,24.99,Standard,2,1.3
PROD000018,Custom Photo Album,Divertissement et Culture,39.99,Standard,3,1.4
PROD000019,Robot Vacuum Mop Pro,Maison et Vie quotidienne,299.99,Fragile,6,2.2
PROD000020,Electric Toothbrush Pro,Maison et Vie quotidienne,69.99,Standard,3,1.7
PROD000001,Wireless Noise-Canceling Earbuds,Technologie,129.99,Fragile,9,2.1
PROD000002,4K Smart LED TV 55 inches,Technologie,799.99,Fragile,8,2.5
PROD000003,Bluetooth Audio Speaker Waterproof,Technologie,149.99,Durable,7,2.0
PROD000004,Smartphone Case Upgrade Pack,Technologie,19.99,Standard,6,1.8
PROD000005,Compact Digital Camera,Technologie,299.99,Fragile,7,2.0
PROD000006,E-Reader with Backlight,Divertissement et Culture,89.99,Standard,5,1.9
PROD000007,Wireless Gaming Headset,Technologie,99.99,Durable,8,2.2
PROD000008,Yoga Mat Non-Slip,Maison et Vie quotidienne,29.99,Durable,4,1.6
PROD000009,Stainless Steel Cookware Set,Maison et Vie quotidienne,149.99,Fragile,3,1.7
PROD000010,Smart Kitchen Scale,Maison et Vie quotidienne,39.99,Standard,4,1.8
PROD000011,Electric Kettle 1.7L,Maison et Vie quotidienne,49.99,Durable,5,1.9
PROD000012,Designer Handbag,Mode et Bien-être,199.99,Fragile,9,2.3
PROD000013,Fitness Tracker Wristband,Mode et Bien-être,89.99,Durable,6,2.0
PROD000014,Casual Sneakers,Mode et Bien-être,69.99,Standard,5,1.9
PROD000015,Scented Soy Candles Gift Set,Divertissement et Culture,24.99,Fragile,3,1.8
PROD000016,Board Game Strategy Edition,Divertissement et Culture,39.99,Standard,2,1.6
PROD000017,Bicycle Helmet with Ventilation,Loisirs et Transport,59.99,Durable,7,1.9
PROD000018,Electric Scooter Foldable,Loisirs et Transport,299.99,Durable,8,2.2
PROD000019,Camping Lantern with USB,Loisirs et Transport,44.99,Durable,4,1.7
PROD000020,Smart Home Assistant Speaker,Technologie,129.99,Fragile,8,2.4
B6-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,8,2.2
B6-PROD000002,Smart LED TV 55 inches,Technologie,799.0,Fragile,9,2.5
B6-PROD000003,Bluetooth Speaker UltraBass,Technologie,149.99,Durable,7,2.0
B6-PROD000004,Noise-Cancelling Earbuds Pro,Technologie,129.99,Fragile,6,2.1
B6-PROD000005,Compact Digital Camera,Technologie,299.99,Fragile,5,2.3
B6-PROD000006,Yoga Mat Deluxe,Maison et Vie quotidienne,39.99,Standard,4,1.6
B6-PROD000007,Espresso Coffee Maker,Maison et Vie quotidienne,89.99,Standard,3,1.8
B6-PROD000008,Non-Stick Cookware Set,Maison et Vie quotidienne,59.99,Standard,4,1.7
B6-PROD000009,Smart Home Hub,Technologie,119.99,Durable,6,2.0
B6-PROD000010,Virtual Reality Headset,Technologie,349.99,Fragile,7,2.4
B6-PROD000011,Desk Organizer Set,Maison et Vie quotidienne,24.99,Standard,2,1.5
B6-PROD000012,Fitness Tracker Watch,Mode et Bien-être,99.99,Durable,8,2.0
B6-PROD000013,Athletic Running Shoes,Mode et Bien-être,74.99,Durable,7,2.1
B6-PROD000014,Yoga pants Essential,Mode et Bien-être,29.99,Standard,4,1.9
B6-PROD000015,Scented Candle Set,Divertissement et Culture,19.99,Fragile,3,1.6
B6-PROD000016,Classic Hardcover Novel,Divertissement et Culture,14.99,Standard,2,1.4
B6-PROD000017,Board Game Strategy Deluxe,Divertissement et Culture,34.99,Standard,5,1.9
B6-PROD000018,Electric Scooter,Loisirs et Transport,499.99,Durable,9,2.7
B6-PROD000019,City Bicycle Helmet,Loisirs et Transport,89.99,Standard,6,2.0
B6-PROD000020,Photography Backpack Pro,Loisirs et Transport,69.99,Durable,5,2.2
PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Durable,8,2.1
PROD000002,Smart LED 55 inch Television,Technologie,899.99,Fragile,7,2.3
PROD000003,Portable Bluetooth Speaker,Technologie,129.0,Durable,6,2.0
PROD000004,Fitness Smartwatch,Mode et Bien-être,199.0,Durable,5,2.6
PROD000005,Yoga Mat Non-Slip,Maison et Vie quotidienne,24.99,Standard,4,1.2
PROD000006,Stainless Steel Cookware Set,Maison et Vie quotidienne,89.5,Fragile,3,1.3
PROD000007,Ceramic Dinnerware Set (16 pcs),Maison et Vie quotidienne,59.99,Fragile,4,1.4
PROD000008,Crystal Wine Glasses (6),Divertissement et Culture,39.99,Extremely_Fragile,7,2.2
PROD000009,Hardcover Mystery Novel,Divertissement et Culture,14.99,Standard,2,1.0
PROD000010,Classic Board Game Collection,Loisirs et Transport,29.99,Standard,3,1.5
PROD000011,Electric Scooter S1,Loisirs et Transport,399.0,Fragile,6,2.2
PROD000012,Ballet Flats Pack,Mode et Bien-être,49.0,Standard,3,1.8
PROD000013,Soft Cashmere Scarf,Mode et Bien-être,89.0,Standard,4,2.0
PROD000014,Instant Camera,Divertissement et Culture,120.0,Fragile,5,2.3
PROD000015,Noise-Isolating Earbuds,Technologie,59.99,Durable,6,2.1
PROD000016,Smart Home Speaker,Technologie,149.99,Durable,5,2.0
PROD000017,Cookbook: Global Flavors,Divertissement et Culture,25.0,Standard,2,1.1
PROD000018,Herbal Tea Assortment,Maison et Vie quotidienne,12.5,Standard,2,1.0
PROD000019,Yoga Resistance Bands Set,Mode et Bien-être,18.99,Durable,3,1.6
PROD000020,Mountain Bike Helmet,Loisirs et Transport,79.99,Durable,4,1.7
B8-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,9,2.4
B8-PROD000002,Smart LED TV 55 inches,Technologie,899.99,Fragile,8,2.3
B8-PROD000003,Bluetooth Speaker Waterproof,Technologie,129.5,Durable,7,1.9
B8-PROD000004,Yoga Mat Premium,Maison et Vie quotidienne,29.99,Durable,3,1.2
B8-PROD000005,Stainless Steel Cookware Set 10pc,Maison et Vie quotidienne,89.0,Fragile,4,1.3
B8-PROD000006,Ceramic Dinnerware Set 16pc,Maison et Vie quotidienne,59.99,Fragile,5,1.4
B8-PROD000007,Electric Kettle 1.7L,Maison et Vie quotidienne,24.99,Standard,3,1.1
B8-PROD000008,Smart Fitness Tracker,Technologie,149.0,Standard,6,2.0
B8-PROD000009,Winter Knit Hoodie,Mode et Bien-être,54.5,Standard,2,1.6
B8-PROD000010,Cozy Plush Bathrobe,Mode et Bien-être,39.99,Standard,3,1.5
B8-PROD000011,Running Shoes Nimbus Lite,Mode et Bien-être,120.0,Durable,5,2.1
B8-PROD000012,Ballet Flats Comfort+,Mode et Bien-être,49.99,Standard,3,1.6
B8-PROD000013,Smartphone X19 Pro,Technologie,799.99,Fragile,9,2.5
B8-PROD000014,Noise-Canceling Earbuds,Technologie,119.99,Fragile,7,2.2
B8-PROD000015,4K Action Camera,Loisirs et Transport,299.0,Standard,6,2.3
B8-PROD000016,Bicycle Helmet Pro,Loisirs et Transport,59.99,Durable,4,1.5
B8-PROD000017,Electric Scooter Kids,Loisirs et Transport,399.0,Durable,6,2.0
B8-PROD000018,DIY Power Drill 20V,Maison et Vie quotidienne,89.99,Durable,4,1.7
B8-PROD000019,Designer Handbag,Mode et Bien-être,310.0,Fragile,8,2.4
B8-PROD000020,Smart Home Speaker System,Technologie,199.0,Standard,6,2.1
PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,9,2.4
PROD000002,Smart LED TV 55 inches,Technologie,799.0,Fragile,8,2.8
PROD000003,Bluetooth Speaker Mini,Technologie,49.99,Durable,6,2.0
PROD000004,Yoga Mat Premium,Mode et Bien-être,29.99,Durable,4,1.6
PROD000005,Smart Fitness Watch,Technologie,199.99,Fragile,7,2.5
PROD000006,Organic Cotton Hoodie,Mode et Bien-être,59.99,Standard,3,1.8
PROD000007,Designer Handbag,Mode et Bien-être,350.0,Fragile,8,2.7
PROD000008,Ceramic Dinner Set 16pc,Maison et Vie quotidienne,89.99,Fragile,5,1.9
PROD000009,Non-stick Cookware Set,Maison et Vie quotidienne,120.0,Standard,4,1.5
PROD000010,Espresso Machine Deluxe,Maison et Vie quotidienne,299.99,Fragile,6,2.6
PROD000011,Smartphone XYZ 128GB,Technologie,899.0,Fragile,10,2.9
PROD000012,Digital Camera Compact,Technologie,449.0,Fragile,6,2.1
PROD000013,Sustainable Bamboo Desk Lamp,Maison et Vie quotidienne,39.99,Standard,3,1.7
PROD000014,Noise-Reduction Gaming Headset,Technologie,149.99,Fragile,7,2.3
PROD000015,Classic Hardcover Novel Bundle,Divertissement et Culture,24.99,Standard,2,1.4
PROD000016,Smart Home Assistant Speaker,Technologie,99.99,Durable,5,2.0
PROD000017,Electric Toothbrush Pro,Maison et Vie quotidienne,69.99,Durable,4,1.7
PROD000018,Electric Kettle XL,Maison et Vie quotidienne,34.99,Standard,3,1.6
PROD000019,Running Shoes Elite,Loisirs et Transport,120.0,Durable,6,2.2
PROD000020,Bicycle Helmet Pro,Loisirs et Transport,89.0,Durable,4,1.9
B10-PROD000001,Wireless Noise-Cancelling Headphones,Technologie,149.99,Fragile,9,2.4
B10-PROD000002,Smart LED TV 55 inches,Technologie,799.0,Fragile,8,2.6
B10-PROD000003,Bluetooth Speaker Mini,Technologie,59.99,Standard,6,1.9
B10-PROD000004,E-Reader with Front Light,Divertissement et Culture,119.0,Fragile,7,1.8
B10-PROD000005,Smartphone Case Set,Mode et Bien-être,24.99,Standard,5,1.6
B10-PROD000006,Yoga Mat Non-Slip,Maison et Vie quotidienne,29.99,Durable,4,1.5
B10-PROD000007,Stainless Steel Cookware Set,Maison et Vie quotidienne,199.99,Durable,3,1.8
B10-PROD000008,Designer Silk Scarf,Mode et Bien-être,89.5,Fragile,6,2.0
B10-PROD000009,Running Shoes Pro,Mode et Bien-être,129.99,Durable,7,1.9
B10-PROD000010,Bicycle Helmet with MIPS,Loisirs et Transport,79.99,Durable,5,1.7
B10-PROD000011,Electric Kettle 1.7L,Maison et Vie quotidienne,39.99,Standard,4,1.3
B10-PROD000012,Smartwatch Series 9,Technologie,299.99,Fragile,8,2.5
B10-PROD000013,Noise-Isolating Earbuds,Technologie,79.99,Fragile,8,2.2
B10-PROD000014,Cold Brew Coffee Maker,Maison et Vie quotidienne,149.99,Standard,4,1.5
B10-PROD000015,Bluetooth Car Adapter,Loisirs et Transport,24.99,Standard,3,1.4
B10-PROD000016,Smart Home Hub,Technologie,129.0,Durable,7,2.1
B10-PROD000017,Yoga Block Set,Maison et Vie quotidienne,14.99,Durable,3,1.6
B10-PROD000018,Gardening Tool Kit,Maison et Vie quotidienne,34.99,Durable,4,1.5
B10-PROD000019,Casual Denim Jacket,Mode et Bien-être,59.99,Standard,6,2.0
B10-PROD000020,Compact Action Camera,Technologie,219.0,Fragile,7,2.3
PROD000001,Wireless Noise-Cancelling Headphones,Technologie,199.99,Fragile,9,2.2
PROD000002,Smart LED TV 55 inches,Technologie,899.99,Fragile,8,2.6
PROD000003,Espresso Coffee Maker with Grinder,Maison et Vie quotidienne,149.99,Standard,6,1.8
PROD000004,Stainless Steel Cookware Set 10pc,Maison et Vie quotidienne,129.99,Durable,4,1.6
PROD000005,Yoga Mat with Non-Slip Surface,Mode et Bien-être,29.99,Durable,3,1.2
PROD000006,Smart Fitness Band,Technologie,89.99,Fragile,7,1.9
PROD000007,Graphic Novel Collection Box Set,Divertissement et Culture,59.99,Standard,5,1.4
PROD000008,Bluetooth Portable Speaker,Technologie,64.99,Durable,6,2.0
PROD000009,Casual Sneakers,Mode et Bien-être,74.99,Standard,4,1.3
PROD000010,Leather Messenger Bag,Mode et Bien-être,149.99,Fragile,5,1.7
PROD000011,Electric Toothbrush Pro,Maison et Vie quotidienne,39.99,Standard,3,1.5
PROD000012,Premium Gym Rope Cable,Loisirs et Transport,19.99,Durable,2,1.1
PROD000013,Drone with HD Camera,Technologie,299.99,Fragile,8,2.8
PROD000014,Smart Home Assistant Speaker,Technologie,99.99,Standard,6,2.1
PROD000015,Electric Kettle with Temperature Control,Maison et Vie quotidienne,49.99,Standard,4,1.5
PROD000016,Winter Wool Coat,Mode et Bien-être,199.99,Standard,2,1.6
PROD000017,Ballet Flat Shoes - Classic,Mode et Bien-être,59.99,Fragile,3,1.3
PROD000018,Action Camera Accessory Kit,Loisirs et Transport,24.99,Durable,4,1.4
PROD000019,Compact USB-C Hub,Technologie,34.99,Durable,5,1.7
PROD000020,Noise-Isolating Wireless Earbuds,Technologie,129.99,Fragile,8,2.3
PROD000001,Wireless Noise-Canceling Headphones,Technologie,199.99,Durable,8,2.2
PROD000002,Smart LED TV 55 inches,Technologie,799.99,Fragile,7,2.8
PROD000003,Bluetooth Speaker Portable,Technologie,59.99,Standard,6,1.9
PROD000004,Ergonomic Office Chair,Maison et Vie quotidienne,149.99,Durable,5,1.6
PROD000005,Smart Kitchen Mixer,Maison et Vie quotidienne,329.99,Fragile,4,2.1
PROD000006,Stainless Steel Cookware Set,Maison et Vie quotidienne,199.99,Standard,3,1.8
PROD000007,Yoga Mat Pro,Mode et Bien-être,39.99,Durable,2,1.4
PROD000008,Athletic Sneakers,Mode et Bien-être,89.99,Durable,4,1.9
PROD000009,Designer Handbag,Mode et Bien-être,350.0,Fragile,9,2.5
PROD000010,Smartwatch Series 9,Technologie,299.99,Fragile,8,2.7
